#commits    : 16000000
#aborts     : 143598827
17.663351	Default
#commits    : 16000000
#aborts     : 203351450
20.663162	Default
#commits    : 16000000
#aborts     : 156852508
21.373222	Default
#commits    : 16000000
#aborts     : 211474853
20.446130	Default
#commits    : 16000000
#aborts     : 201432525
20.654030	Default
#commits    : 16000000
#aborts     : 157425937
18.318846	Default
#commits    : 16000000
#aborts     : 216975698
22.083655	Default
#commits    : 16000000
#aborts     : 159501055
21.317965	Default
#commits    : 16000000
#aborts     : 208611923
20.083846	Default
#commits    : 16000000
#aborts     : 123527103
19.795600	Default
#commits    : 16000000
#aborts     : 205877004
20.630212	Worst
#commits    : 16000000
#aborts     : 201173215
21.324223	Worst
#commits    : 16000000
#aborts     : 199571926
19.452422	Worst
#commits    : 16000000
#aborts     : 205078869
20.591907	Worst
#commits    : 16000000
#aborts     : 198953024
20.563127	Worst
#commits    : 16000000
#aborts     : 209674056
19.791869	Worst
#commits    : 16000000
#aborts     : 213144550
19.132327	Worst
#commits    : 16000000
#aborts     : 216524113
18.913217	Worst
#commits    : 16000000
#aborts     : 210003208
19.916479	Worst
#commits    : 16000000
#aborts     : 196006576
17.870796	Worst
#commits    : 16000000
#aborts     : 92433128
14.548264	Best
#commits    : 16000000
#aborts     : 96658635
15.245360	Best
#commits    : 16000000
#aborts     : 88636011
13.914650	Best
#commits    : 16000000
#aborts     : 81370933
12.905759	Best
#commits    : 16000000
#aborts     : 79442116
12.818065	Best
#commits    : 16000000
#aborts     : 78874591
12.788411	Best
#commits    : 16000000
#aborts     : 95911325
15.231937	Best
#commits    : 16000000
#aborts     : 98931832
15.665455	Best
#commits    : 16000000
#aborts     : 105656180
15.122280	Best
#commits    : 16000000
#aborts     : 97136555
15.008435	Best
