20.292683	8	Default
19.159663	8	Default
20.854608	8	Default
19.507316	8	Default
17.243919	8	Default
21.226959	8	Default
19.162243	8	Default
20.023559	8	Default
19.571774	8	Default
22.771632	8	Default
19.441830	8	Worst
20.099395	8	Worst
18.821509	8	Worst
20.168752	8	Worst
18.959978	8	Worst
20.829838	8	Worst
20.597269	8	Worst
20.511300	8	Worst
17.947391	8	Worst
20.443419	8	Worst
14.372209	8	ZBest
14.436043	8	ZBest
13.639510	8	ZBest
14.026911	8	ZBest
14.950222	8	ZBest
14.760779	8	ZBest
14.046335	8	ZBest
14.224917	8	ZBest
12.895465	8	ZBest
12.476139	8	ZBest
